Model,L→R,L→S,R→L,R→D,R→S,D→R,D→S,S→L,S→R,S→D,AVG
BERT-UDA,31.96,34.98,43.86,41.18,35.0,30.39,38.48,31.44,30.85,51.02,36.92
AHF,32.04,16.94,16.84,27.92,15.1,40.04,17.25,14.21,31.71,17.77,22.98
TransProto,63.82,41.56,62.96,55.34,50.64,43.79,49.18,54.99,62.87,30.99,51.61
BGCA,53.23,36.22,47.74,38.3,37.74,44.59,43.51,40.15,42.37,50.07,43.39
KETGM,41.09,30.41,38.22,36.7,34.56,37.88,42.84,31.32,36.63,46.29,37.59
DALM,52.9,48.07,39.02,43.3,44.84,53.25,52.73,39.36,56.52,39.68,46.97
LLM-Augment-Syntax-DA,,,,,,,,,,,
KGAN,,,,,,,,,,,
SenticGCN,,,,,,,,,,,
GPT-4 Turbo,46.54,,,,,,,,,,
GPT-4o,43.36,30.19,46.99,30.19,24.82,40.06,33.5,45.59,41.82,32.07,36.86
LLaMA-3.1-8B-Instruct,,,,,,,,,,,
Qwen2.5-7B-Instruct,,,,,,,,,,,
Qwen2.5-14B-Instruct,,,,,,,,,,,
LLM-KGKAN,37.81,34.91,57.22,36.87,37.43,33.13,33.05,34.76,33.79,37.47,37.64
w/o KG,25.3,30.44,,,,,,,,,
w/o Syn,,,,,,,,,,,
w/o ARG,,,,,,,,,,,
w/o KAN,,,,,,,,,,,
